card_key,card_name,set_name,card_number,total_graded,gem_mint_pct,psa9_pct,psa8_pct,psa9plus_pct,psa8plus_pct,average_grade,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10
base_set_charizard,Charizard,Base Set,4/102,42847,19.43,26.15,21.55,45.58,67.13,7.9,218,389,812,1247,2103,3421,5892,9234,11204,8327
base_set_pikachu,Pikachu,Base Set,58/102,15234,8.63,18.6,25.75,27.24,52.99,7.27,145,234,412,623,1023,1834,2891,3923,2834,1315
base_set_blastoise,Blastoise,Base Set,2/102,18432,11.07,22.97,26.54,34.04,60.58,7.57,123,198,387,598,1023,1834,3102,4892,4234,2041
base_set_venusaur,Venusaur,Base Set,15/102,12876,6.89,22.01,27.7,28.9,56.6,7.38,98,156,298,456,812,1423,2345,3567,2834,887
base_set_mewtwo,Mewtwo,Base Set,10/102,14567,6.14,21.44,28.3,27.58,55.88,7.35,112,178,345,523,912,1623,2734,4123,3123,894
base_set_alakazam,Alakazam,Base Set,1/102,11234,3.85,21.86,28.79,25.71,54.5,7.27,87,145,278,423,734,1289,2156,3234,2456,432
neo_genesis_lugia,Lugia,Neo Genesis,9/111,28456,13.11,21.52,25.42,34.63,60.05,7.59,198,312,587,912,1623,2845,4892,7234,6123,3730
neo_genesis_pichu,Pichu,Neo Genesis,12/111,18234,10.22,21.26,26.83,31.48,58.31,7.48,134,212,398,612,1089,1923,3234,4892,3876,1864
evolving_skies_umbreon_vmax,Umbreon VMAX Alt,Evolving Skies,215/203,15678,18.04,26.3,22.75,44.34,67.09,7.89,89,145,267,412,723,1289,2234,3567,4123,2829
evolving_skies_rayquaza_vmax,Rayquaza VMAX Alt,Evolving Skies,218/203,12345,10.31,28.0,25.3,38.31,63.6,7.67,78,123,234,367,645,1123,1923,3123,3456,1273
pokemon_151_charizard_ex,Charizard ex SAR,Pokemon 151,199/165,18234,17.02,25.05,23.22,42.07,65.29,7.82,112,178,334,512,892,1567,2734,4234,4567,3104
crown_zenith_lugia_vstar,Lugia VSTAR Alt,Crown Zenith,GG43/GG70,8923,13.29,27.52,23.79,40.82,64.61,7.62,56,89,167,256,456,789,1345,2123,2456,1186
celebrations_charizard,Charizard Classic,Celebrations,024/025,22345,16.25,25.41,22.93,41.66,64.59,7.78,145,234,423,656,1123,1987,3345,5123,5678,3631
