name,set,code,number,rarity,price
Weedle,Chaos Rising,CRI,001/086,Common,0.14
Kakuna,Chaos Rising,CRI,002/086,Common,0.15
Beedrill ex,Chaos Rising,CRI,003/086,Double Rare,0.64
Carnivine,Chaos Rising,CRI,004/086,Common,0.12
Chespin,Chaos Rising,CRI,005/086,Common,0.08
Quilladin,Chaos Rising,CRI,006/086,Common,0.13
Chesnaught,Chaos Rising,CRI,007/086,Rare,0.14
Vulpix,Chaos Rising,CRI,008/086,Common,0.13
Ninetales,Chaos Rising,CRI,009/086,Uncommon,0.11
Ho-Oh,Chaos Rising,CRI,010/086,Rare,0.21
Fennekin,Chaos Rising,CRI,011/086,Common,0.12
Braixen,Chaos Rising,CRI,012/086,Common,0.16
Delphox,Chaos Rising,CRI,013/086,Rare,0.25
Litleo,Chaos Rising,CRI,014/086,Common,0.08
Mega Pyroar ex,Chaos Rising,CRI,015/086,Double Rare,0.47
Remoraid,Chaos Rising,CRI,016/086,Common,0.18
Octillery,Chaos Rising,CRI,017/086,Common,0.1
Delibird,Chaos Rising,CRI,018/086,Uncommon,0.06
Keldeo,Chaos Rising,CRI,019/086,Rare,0.16
Froakie,Chaos Rising,CRI,020/086,Common,0.11
Frogadier,Chaos Rising,CRI,021/086,Common,0.19
Mega Greninja ex,Chaos Rising,CRI,022/086,Double Rare,1.76
Bergmite,Chaos Rising,CRI,023/086,Common,0.11
Avalugg,Chaos Rising,CRI,024/086,Uncommon,0.15
Wimpod,Chaos Rising,CRI,025/086,Common,0.1
Golisopod,Chaos Rising,CRI,026/086,Uncommon,0.11
Mareep,Chaos Rising,CRI,027/086,Common,0.19
Flaaffy,Chaos Rising,CRI,028/086,Common,0.15
Ampharos,Chaos Rising,CRI,029/086,Rare,0.2
Emolga,Chaos Rising,CRI,030/086,Common,0.07
Deoxys,Chaos Rising,CRI,031/086,Uncommon,0.13
Deoxys,Chaos Rising,CRI,032/086,Uncommon,0.14
Deoxys,Chaos Rising,CRI,033/086,Uncommon,0.1
Deoxys,Chaos Rising,CRI,034/086,Uncommon,0.14
Mega Floette ex,Chaos Rising,CRI,035/086,Double Rare,0.5
Espurr,Chaos Rising,CRI,036/086,Common,0.13
Meowstic,Chaos Rising,CRI,037/086,Uncommon,0.12
Phantump,Chaos Rising,CRI,038/086,Common,0.14
Trevenant,Chaos Rising,CRI,039/086,Rare,0.18
Pumpkaboo,Chaos Rising,CRI,040/086,Common,0.15
Gourgeist ex,Chaos Rising,CRI,041/086,Double Rare,0.35
Xerneas,Chaos Rising,CRI,042/086,Rare,0.19
Sudowoodo,Chaos Rising,CRI,043/086,Uncommon,0.08
Phanpy,Chaos Rising,CRI,044/086,Common,0.1
Donphan,Chaos Rising,CRI,045/086,Common,0.13
Baltoy,Chaos Rising,CRI,046/086,Common,0.09
Claydol,Chaos Rising,CRI,047/086,Uncommon,0.13
Mega Gallade ex,Chaos Rising,CRI,048/086,Double Rare,0.52
Zubat,Chaos Rising,CRI,049/086,Common,0.09
Golbat,Chaos Rising,CRI,050/086,Common,0.1
Crobat,Chaos Rising,CRI,051/086,Rare,0.12
Qwilfish,Chaos Rising,CRI,052/086,Common,0.15
Stunky,Chaos Rising,CRI,053/086,Common,0.1
Skuntank,Chaos Rising,CRI,054/086,Uncommon,0.08
Krookodile ex,Chaos Rising,CRI,055/086,Double Rare,0.41
Trubbish,Chaos Rising,CRI,056/086,Common,0.14
Garbodor,Chaos Rising,CRI,057/086,Uncommon,0.12
Skrelp,Chaos Rising,CRI,058/086,Common,0.18
Beldum,Chaos Rising,CRI,059/086,Common,0.12
Metang,Chaos Rising,CRI,060/086,Common,0.12
Metagross,Chaos Rising,CRI,061/086,Uncommon,0.14
Ferroseed,Chaos Rising,CRI,062/086,Common,0.06
Ferrothorn,Chaos Rising,CRI,063/086,Uncommon,0.1
Cobalion ex,Chaos Rising,CRI,064/086,Double Rare,0.53
Mega Dragalge ex,Chaos Rising,CRI,065/086,Double Rare,0.46
Goomy,Chaos Rising,CRI,066/086,Common,0.14
Sliggoo,Chaos Rising,CRI,067/086,Common,0.17
Goodra,Chaos Rising,CRI,068/086,Rare,0.19
Tauros,Chaos Rising,CRI,069/086,Uncommon,0.07
Patrat,Chaos Rising,CRI,070/086,Common,0.12
Watchog,Chaos Rising,CRI,071/086,Common,0.11
Minccino,Chaos Rising,CRI,072/086,Common,0.12
Cinccino ex,Chaos Rising,CRI,073/086,Double Rare,0.68
Adversity Policy,Chaos Rising,CRI,074/086,Uncommon,0.07
Ange Floette,Chaos Rising,CRI,075/086,Uncommon,0.15
AZ's Tranquility,Chaos Rising,CRI,076/086,Uncommon,0.09
Emma,Chaos Rising,CRI,077/086,Uncommon,0.21
Great Haul Net,Chaos Rising,CRI,078/086,Uncommon,0.15
Philippe,Chaos Rising,CRI,079/086,Uncommon,0.14
Prism Tower,Chaos Rising,CRI,080/086,Uncommon,0.16
Roxie's Performance,Chaos Rising,CRI,081/086,Uncommon,0.13
Special Red Card,Chaos Rising,CRI,082/086,Uncommon,0.19
Transformation Tome,Chaos Rising,CRI,083/086,Uncommon,0.13
Bubbly Water Energy,Chaos Rising,CRI,084/086,Rare,0.17
Magnetic Metal Energy,Chaos Rising,CRI,085/086,Rare,0.15
Nitro Fire Energy,Chaos Rising,CRI,086/086,Rare,0.2
Chespin,Chaos Rising,CRI,087/086,Illustration Rare,7.26
Froakie,Chaos Rising,CRI,088/086,Illustration Rare,14.09
Frogadier,Chaos Rising,CRI,089/086,Illustration Rare,8.5
