name,code,series,date,price,cards
Chaos Rising,CRI,Mega Evolution,"May 22, 2026",1002,122
Perfect Order,POR,Mega Evolution,"Mar 27, 2026",829,124
Ascended Heroes,ASC,Mega Evolution,"Jan 30, 2026",7723,295
Phantasmal Flames,PFL,Mega Evolution,"Nov 14, 2025",1447,130
Mega Evolution,MEG,Mega Evolution,"Sep 26, 2025",1836,188
Mega Evolution Energies,MEE,Mega Evolution,"Sep 26, 2025",1.48,8
Mega Evolution Promos,MEP,Mega Evolution,"Sep 13, 2025",1615,87
Black Bolt,BLK,Scarlet & Violet,"Jul 18, 2025",3541,172
White Flare,WHT,Scarlet & Violet,"Jul 18, 2025",3159,173
Destined Rivals,DRI,Scarlet & Violet,"May 30, 2025",2234,244
Journey Together,JTG,Scarlet & Violet,"Mar 28, 2025",579,190
Prismatic Evolutions,PRE,Scarlet & Violet,"Jan 17, 2025",5270,180
Surging Sparks,SSP,Scarlet & Violet,"Nov 08, 2024",1410,252
Stellar Crown,SCR,Scarlet & Violet,"Sep 13, 2024",707,175
Shrouded Fable,SFA,Scarlet & Violet,"Aug 02, 2024",954,99
Twilight Masquerade,TWM,Scarlet & Violet,"May 24, 2024",1467,226
Temporal Forces,TEF,Scarlet & Violet,"Mar 22, 2024",1371,218
Paldean Fates,PAF,Scarlet & Violet,"Jan 26, 2024",2981,245
Paradox Rift,PAR,Scarlet & Violet,"Nov 03, 2023",1281,266
Scarlet & Violet 151,MEW,Scarlet & Violet,"Sep 22, 2023",2325,207
Obsidian Flames,OBF,Scarlet & Violet,"Aug 11, 2023",546,230
Paldea Evolved,PAL,Scarlet & Violet,"Jun 09, 2023",2116,279
Scarlet & Violet,SVI,Scarlet & Violet,"Mar 31, 2023",884,258
Scarlet & Violet Energies,SVE,Scarlet & Violet,"Mar 31, 2023",3.56,24
Scarlet & Violet Promos,SVP,Scarlet & Violet,"Jan 01, 2023",4021,226
Crown Zenith,CRZ,Sword & Shield,"Jan 20, 2023",3052,230
Crown Zenith (Galarian Gallery),CRZ,Sword & Shield,"Jan 20, 2023",2779,70
Silver Tempest,SIT,Sword & Shield,"Nov 11, 2022",1549,245
Silver Tempest (Trainer Gallery),SIT,Sword & Shield,"Nov 11, 2022",554,30
Lost Origin,LOR,Sword & Shield,"Sep 09, 2022",2065,247
Lost Origin (Trainer Gallery),LOR,Sword & Shield,"Sep 09, 2022",645,30
Pokemon GO,PGO,Sword & Shield,"Jul 01, 2022",396,88
Astral Radiance,ASR,Sword & Shield,"May 27, 2022",1355,246
Astral Radiance (Trainer Gallery),ASR,Sword & Shield,"May 27, 2022",445,30
Brilliant Stars,BRS,Sword & Shield,"Feb 25, 2022",1614,216
Brilliant Stars (Trainer Gallery),BRS,Sword & Shield,"Feb 25, 2022",746,30
Fusion Strike,FST,Sword & Shield,"Nov 12, 2021",2313,284
Celebrations,CEL,Sword & Shield,"Oct 08, 2021",739,50
Celebrations (Classic Collection),CEL,Sword & Shield,"Oct 08, 2021",623,25
Evolving Skies,EVS,Sword & Shield,"Aug 27, 2021",7878,237
Chilling Reign,CRE,Sword & Shield,"Jun 18, 2021",2018,233
Battle Styles,BST,Sword & Shield,"Mar 19, 2021",842,183
Shining Fates,SHF,Sword & Shield,"Feb 19, 2021",723,195
Shining Fates (Shiny Vault),SHF,Sword & Shield,"Feb 19, 2021",639,122
Vivid Voltage,VIV,Sword & Shield,"Nov 13, 2020",568,203
Champion's Path,CPA,Sword & Shield,"Sep 25, 2020",572,80
Darkness Ablaze,DAA,Sword & Shield,"Aug 14, 2020",271,201
Rebel Clash,RCL,Sword & Shield,"May 01, 2020",500,209
Sword & Shield,SSH,Sword & Shield,"Feb 07, 2020",537,216
Sword & Shield Promos,SSP,Sword & Shield,"Nov 15, 2019",4497,307
Cosmic Eclipse,CEC,Sun & Moon,"Nov 01, 2019",5983,271
Hidden Fates,HIF,Sun & Moon,"Aug 23, 2019",3620,163
Hidden Fates (Shiny Vault),HIF,Sun & Moon,"Aug 23, 2019",3297,94
Unified Minds,UNM,Sun & Moon,"Aug 02, 2019",4254,258
Unbroken Bonds,UNB,Sun & Moon,"May 03, 2019",3643,234
Detective Pikachu,DET,Sun & Moon,"Mar 29, 2019",70.58,18
Team Up,TEU,Sun & Moon,"Feb 01, 2019",9198,196
Lost Thunder,LOT,Sun & Moon,"Nov 02, 2018",2465,236
Dragon Majesty,DRM,Sun & Moon,"Sep 07, 2018",670,78
Celestial Storm,CES,Sun & Moon,"Aug 03, 2018",1696,183
Forbidden Light,FLI,Sun & Moon,"May 04, 2018",1210,146
Ultra Prism,UPR,Sun & Moon,"Feb 02, 2018",2029,173
Crimson Invasion,CIN,Sun & Moon,"Nov 03, 2017",471,124
Shining Legends,SLG,Sun & Moon,"Oct 06, 2017",1292,78
Burning Shadows,BUS,Sun & Moon,"Aug 04, 2017",1430,169
Guardians Rising,GRI,Sun & Moon,"May 05, 2017",965,169
Sun & Moon,SUM,Sun & Moon,"Feb 03, 2017",633,163
Sun & Moon Promos,SMP,Sun & Moon,"Oct 31, 2016",6783,248
Evolutions,EVO,XY,"Nov 02, 2016",826,113
Steam Siege,STS,XY,"Aug 03, 2016",412,116
Fates Collide,FCO,XY,"May 02, 2016",778,125
Generations,GEN,XY,"Feb 22, 2016",1733,115
Generations (Radiant Collection),GEN,XY,"Feb 22, 2016",1209,32
BREAKpoint,BKP,XY,"Feb 03, 2016",935,123
BREAKthrough,BKT,XY,"Nov 04, 2015",1229,164
Ancient Origins,AOR,XY,"Aug 12, 2015",2963,100
Roaring Skies,ROS,XY,"May 06, 2015",1376,110
Double Crisis,DCR,XY,"Mar 25, 2015",1024,34
Primal Clash,PRC,XY,"Feb 04, 2015",1701,164
Phantom Forces,PHF,XY,"Nov 05, 2014",2750,122
Furious Fists,FFI,XY,"Aug 13, 2014",855,113
Flashfire,FLF,XY,"May 07, 2014",2232,109
XY,XY,XY,"Feb 05, 2014",725,146
Kalos Starter Set,KSS,XY,"Nov 08, 2013",98.87,39
XY Promos,XYP,XY,"Sep 30, 2013",7979,211
Legendary Treasures,LTR,Black & White,"Nov 06, 2013",1937,140
Legendary Treasures (Radiant Collection),LTR,Black & White,"Nov 06, 2013",748,25
Plasma Blast,PLB,Black & White,"Aug 14, 2013",2218,105
Plasma Freeze,PLF,Black & White,"May 08, 2013",3659,122
Plasma Storm,PLS,Black & White,"Feb 06, 2013",3282,138
Boundaries Crossed,BCR,Black & White,"Nov 07, 2012",2801,153
Dragon Vault,DRV,Black & White,"Oct 05, 2012",234,21
Dragons Exalted,DRX,Black & White,"Aug 15, 2012",2729,128
Dark Explorers,DEX,Black & White,"May 09, 2012",3193,111
Next Destinies,NXD,Black & White,"Feb 08, 2012",2003,103
Noble Victories,NVI,Black & White,"Nov 16, 2011",789,102
Emerging Powers,EPO,Black & White,"Aug 31, 2011",110,98
Black & White,BLW,Black & White,"Apr 25, 2011",486,115
Black & White Promos,BWP,Black & White,"Mar 01, 2011",4640,101
Call of Legends,CL,Call of Legends,"Feb 09, 2011",5352,106
Triumphant,TM,HeartGold & SoulSilver,"Nov 02, 2010",2074,103
Undaunted,UD,HeartGold & SoulSilver,"Aug 18, 2010",2486,91
Unleashed,UL,HeartGold & SoulSilver,"May 12, 2010",1695,96
HeartGold & SoulSilver,HS,HeartGold & SoulSilver,"Feb 10, 2010",2259,124
HeartGold & SoulSilver Promos,HSP,HeartGold & SoulSilver,"Feb 01, 2010",843,25
Arceus,AR,Platinum,"Nov 04, 2009",1793,111
Supreme Victors,SV,Platinum,"Aug 19, 2009",2848,153
Rising Rivals,RR,Platinum,"May 20, 2009",3321,120
Platinum,PL,Platinum,"Feb 04, 2009",1342,127
Stormfront,SF,Diamond & Pearl,"Nov 05, 2008",1238,100
Legends Awakened,LA,Diamond & Pearl,"Aug 13, 2008",1562,146
Majestic Dawn,MD,Diamond & Pearl,"May 14, 2008",1123,100
Great Encounters,GE,Diamond & Pearl,"Feb 13, 2008",987,106
Secret Wonders,SW,Diamond & Pearl,"Nov 07, 2007",876,165
Mysterious Treasures,MT,Diamond & Pearl,"Aug 22, 2007",1234,160
Diamond & Pearl,DP,Diamond & Pearl,"May 23, 2007",567,130
DP Black Star Promos,DPP,Diamond & Pearl,"May 01, 2007",2345,45
Power Keepers,PK,EX,"Feb 14, 2007",876,108
Dragon Frontiers,DF,EX,"Nov 08, 2006",1234,101
Crystal Guardians,CG,EX,"Aug 16, 2006",654,100
Holon Phantoms,HP,EX,"May 24, 2006",1567,110
Legend Maker,LM,EX,"Feb 15, 2006",876,92
Delta Species,DS,EX,"Nov 09, 2005",2345,113
Unseen Forces,UF,EX,"Aug 17, 2005",3456,115
Emerald,EM,EX,"May 11, 2005",876,109
Deoxys,DX,EX,"Feb 14, 2005",1234,108
Team Rocket Returns,TRR,EX,"Nov 08, 2004",2345,109
FireRed & LeafGreen,FRLG,EX,"Aug 25, 2004",1567,112
Hidden Legends,HL,EX,"Jun 14, 2004",876,102
Team Magma vs Team Aqua,TMvTA,EX,"Mar 15, 2004",654,95
Dragon,DR,EX,"Nov 24, 2003",1234,97
Sandstorm,SS,EX,"Sep 17, 2003",876,100
Ruby & Sapphire,RS,EX,"Jul 30, 2003",567,111
Skyridge,SK,E-Card,"Jun 14, 2002",3456,144
Aquapolis,AQ,E-Card,"Feb 13, 2002",4567,147
Expedition Base Set,EX,E-Card,"Sep 15, 2001",2345,165
Neo Destiny,N4,Neo,"Feb 28, 2001",3456,105
Neo Revelation,N3,Neo,"Sep 21, 2000",4567,64
Neo Discovery,N2,Neo,"Jun 26, 2000",3456,75
Neo Genesis,N1,Neo,"Dec 16, 1999",5678,111
Team Rocket,TR,Original,"Apr 24, 2000",4567,82
Base Set 2,BS2,Original,"Feb 23, 2000",2345,130
Fossil,FO,Original,"Oct 10, 1999",3456,62
Jungle,JU,Original,"Jun 16, 1999",3456,64
Wizards Black Star Promos,BS,Original,"Mar 01, 1999",5678,53
Base Set,BS,Original,"Jan 09, 1999",7890,102
