set_id,set_name,card_id,local_id,name,types,hp,stage,rarity,artist,image
base1,Base Set,base1-1,1,Alakazam,['Psychic'],80,Stage2,Rare,,https://assets.tcgdex.net/en/base/base1/1
base1,Base Set,base1-2,2,Blastoise,['Water'],100,Stage2,Rare,,https://assets.tcgdex.net/en/base/base1/2
base1,Base Set,base1-3,3,Chansey,['Colorless'],120,Basic,Rare,,https://assets.tcgdex.net/en/base/base1/3
base1,Base Set,base1-4,4,Charizard,['Fire'],120,Stage2,Rare,,https://assets.tcgdex.net/en/base/base1/4
base1,Base Set,base1-5,5,Clefairy,['Colorless'],40,Basic,Rare,,https://assets.tcgdex.net/en/base/base1/5
base1,Base Set,base1-6,6,Gyarados,['Water'],100,Stage1,Rare,,https://assets.tcgdex.net/en/base/base1/6
base1,Base Set,base1-7,7,Hitmonchan,['Fighting'],70,Basic,Rare,,https://assets.tcgdex.net/en/base/base1/7
base1,Base Set,base1-8,8,Machamp,['Fighting'],100,Stage2,Rare,,https://assets.tcgdex.net/en/base/base1/8
base1,Base Set,base1-9,9,Magneton,['Lightning'],60,Stage1,Rare,,https://assets.tcgdex.net/en/base/base1/9
base1,Base Set,base1-10,10,Mewtwo,['Psychic'],60,Basic,Rare,,https://assets.tcgdex.net/en/base/base1/10
base1,Base Set,base1-11,11,Nidoking,,,,,,https://assets.tcgdex.net/en/base/base1/11
base1,Base Set,base1-12,12,Ninetales,,,,,,https://assets.tcgdex.net/en/base/base1/12
base1,Base Set,base1-13,13,Poliwrath,,,,,,https://assets.tcgdex.net/en/base/base1/13
base1,Base Set,base1-14,14,Raichu,,,,,,https://assets.tcgdex.net/en/base/base1/14
base1,Base Set,base1-15,15,Venusaur,,,,,,https://assets.tcgdex.net/en/base/base1/15
base1,Base Set,base1-16,16,Zapdos,,,,,,https://assets.tcgdex.net/en/base/base1/16
base1,Base Set,base1-17,17,Beedrill,,,,,,https://assets.tcgdex.net/en/base/base1/17
base1,Base Set,base1-18,18,Dragonair,,,,,,https://assets.tcgdex.net/en/base/base1/18
base1,Base Set,base1-19,19,Dugtrio,,,,,,https://assets.tcgdex.net/en/base/base1/19
base1,Base Set,base1-20,20,Electabuzz,,,,,,https://assets.tcgdex.net/en/base/base1/20
base1,Base Set,base1-21,21,Electrode,,,,,,https://assets.tcgdex.net/en/base/base1/21
base1,Base Set,base1-22,22,Pidgeotto,,,,,,https://assets.tcgdex.net/en/base/base1/22
base1,Base Set,base1-23,23,Arcanine,,,,,,https://assets.tcgdex.net/en/base/base1/23
base1,Base Set,base1-24,24,Charmeleon,,,,,,https://assets.tcgdex.net/en/base/base1/24
